*Server name,IP addresses,*Cores,*Memory (In MB),*OS name,OS version,OS architecture,Server type,Hypervisor,CPU utilization percentage,Memory utilization percentage,Network adapters,Network In throughput,Network Out throughput,Boot type,Number of disks,Storage in use (In GB),Disk 1 size (In GB),Disk 1 read throughput (MB per second),Disk 1 write throughput (MB per second),Disk 1 read ops (operations per second),Disk 1 write ops (operations per second),Disk 2 size (In GB),Disk 2 read throughput (MB per second),Disk 2 write throughput (MB per second),Disk 2 read ops (operations per second),Disk 2 write ops (operations per second)
lnx5032,,2,15884,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,665,1146,,,,,,,,,
lnx5033,,2,15884,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,665,1147,,,,,,,,,
lnx5115,,8,16044,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,716,1144,,,,,,,,,
lnx7016,,8,160953,Red Hat Enterprise Linux 7 (64-bit),,,Physical,,,,,,,,,1407,1926,,,,,,,,,
lnx7017,,8,539265,Red Hat Enterprise Linux 7 (64-bit),,,Physical,,,,,,,,,1094,2330,,,,,,,,,
lnx7018,,2,2773,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,766,1188,,,,,,,,,
lnx7031,,4,15984,Red Hat Enterprise Linux 7 (64-bit),,,Physical,,,,,,,,,8,33,,,,,,,,,
lnx7041,,4,19916,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,1547,2447,,,,,,,,,
lnx7048,,2,15885,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,886,1373,,,,,,,,,
lnx7057,,4,29860,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,1164,2358,,,,,,,,,
nx7060,,1,7784,SUSE Linux Enterprise Server 12 (64-bit),,,Virtual,Vmware,,,,,,,,1314,1844,,,,,,,,,
lnx7068,,10,515520,SUSE Linux Enterprise 12 (64-bit),,,Physical,,,,,,,,,9254,13067,,,,,,,,,
lnx7070,,16,16032,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,706,1437,,,,,,,,,
lnx7071,,16,16032,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,1055,1868,,,,,,,,,
lnx7073,,1,7603,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,1013,1494,,,,,,,,,
lnx7074,,4,15667,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,1020,1620,,,,,,,,,
lnx7075,,4,15667,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,1019,1621,,,,,,,,,
lnx7076,,4,7603,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,1000,1447,,,,,,,,,
lnx7077,,4,7603,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,1000,1445,,,,,,,,,
lnx7078,,64,193074,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,1016,2607,,,,,,,,,
lnx7079,,64,193074,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,757,2203,,,,,,,,,
lnx7080,,64,193074,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,746,2173,,,,,,,,,
lnx7081,,64,193074,SUSE Linux Enterprise 12 (64-bit),,,Virtual,Vmware,,,,,,,,744,2172,,,,,,,,,
lnx7098,,1,3949,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,675,1092,,,,,,,,,
lnx7101,,8,100675,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,606,1422,,,,,,,,,
lnx7106,,8,64387,Red Hat Enterprise Linux 7 (64-bit),,,Virtual,Vmware,,,,,,,,606,1309,,,,,,,,,
WS0107,,4,8192,Microsoft Windows Server 2012 R2 Standard,,,Virtual,Vmware,,,,,,,,207,263,,,,,,,,,
WS0108,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,97,109,,,,,,,,,
WS0109,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,93,109,,,,,,,,,
WS0117,,4,4096,Microsoft Windows Server 2003 Standard Edition,,,Virtual,Vmware,,,,,,,,804,908,,,,,,,,,
WS0118,,4,4096,Microsoft Windows Server 2003 Standard Edition,,,Virtual,Vmware,,,,,,,,71,100,,,,,,,,,
WS0198,,2,4096,Microsoft Windows Server 2008 R2 Standard,,,Virtual,Vmware,,,,,,,,50,75,,,,,,,,,
WS0200,,4,6144,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,52,95,,,,,,,,,
WS0222,,24,32768,Microsoft Windows Server 2019 Standard,,,Virtual,Hyper-V,,,,,,,,203,236,,,,,,,,,
WS0223,,12,49152,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,207,250,,,,,,,,,
WS0682,,8,8192,Microsoft Windows Server 2008 R2 Standard,,,Virtual,Vmware,,,,,,,,80,105,,,,,,,,,
WS0683,,8,24576,Microsoft Windows Server 2008 R2 Standard,,,Virtual,Vmware,,,,,,,,703,845,,,,,,,,,
WS0685,,16,200704,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,452,539,,,,,,,,,
WS0686,,16,98304,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,414,630,,,,,,,,,
WS0690,,4,8192,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,51,119,,,,,,,,,
WS0691,,4,12288,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,57,119,,,,,,,,,
WS0699,,2,4096,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,107,355,,,,,,,,,
WS0701,,4,8192,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,55,97,,,,,,,,,
WS0719,,4,8192,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,63,90,,,,,,,,,
WS0729,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,107,120,,,,,,,,,
WS0731,,4,16384,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,974,1075,,,,,,,,,
WS1982,,4,4096,Microsoft Windows Server 2016 Standard,,,Virtual,Hyper-V,,,,,,,,26,69,,,,,,,,,
WS1983,,4,4096,Microsoft Windows Server 2016 Standard,,,Virtual,Hyper-V,,,,,,,,49,69,,,,,,,,,
WS1985,,4,8192,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,221,279,,,,,,,,,
WS1986,,4,4096,Microsoft Windows Server 2016 Standard,,,Virtual,Hyper-V,,,,,,,,41,59,,,,,,,,,
WS1987,,8,12288,Microsoft Windows Server 2016 Standard,,,Virtual,Hyper-V,,,,,,,,43,59,,,,,,,,,
WS1988,,4,4096,Microsoft Windows Server 2016 Standard,,,Virtual,Hyper-V,,,,,,,,38,49,,,,,,,,,
WS2502,,2,8192,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,46,100,,,,,,,,,
WS2503,,4,8192,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,51,110,,,,,,,,,
WS2504,,2,8192,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,48,100,,,,,,,,,
WS2509,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,31,120,,,,,,,,,
WS2510,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,37,120,,,,,,,,,
WS2512,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,69,120,,,,,,,,,
WS2513,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,63,120,,,,,,,,,
WS2514,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,71,120,,,,,,,,,
WS2515,,4,4096,Microsoft Windows Server 2016 Standard,,,Virtual,Hyper-V,,,,,,,,45,74,,,,,,,,,
WS2516,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,843,959,,,,,,,,,
WS2517,,2,8192,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,72,82,,,,,,,,,
WS2518,,2,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,52,120,,,,,,,,,
WS2520,,2,4096,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,56,70,,,,,,,,,
WS2521,,4,12288,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,806,897,,,,,,,,,
WS2522,,4,18432,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,230,694,,,,,,,,,
WS2524,,8,32768,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,514,584,,,,,,,,,
WS2525,,4,24576,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,2368,2467,,,,,,,,,
WS2531,,8,36864,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,110,198,,,,,,,,,
WS2534,,6,32768,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,173,365,,,,,,,,,
WS2535,,2,6144,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,47,78,,,,,,,,,
WS2536,,4,16384,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,142,160,,,,,,,,,
WS2537,,4,16384,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,138,200,,,,,,,,,
WS2538,,4,16384,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,109,170,,,,,,,,,
WS2539,,4,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,67,212,,,,,,,,,
WS2540,,4,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,62,212,,,,,,,,,
WS2541,,4,8192,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,62,212,,,,,,,,,
WS2545,,4,16384,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,123,209,,,,,,,,,
WS2546,,4,16384,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,126,209,,,,,,,,,
WS2547,,8,65536,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,129,469,,,,,,,,,
WS2548,,8,65536,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,138,389,,,,,,,,,
WS2549,,4,65536,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,99,269,,,,,,,,,
WS2550,,4,65536,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,117,269,,,,,,,,,
WS2551,,12,32768,Microsoft Windows Server 2019 Standard,,,Virtual,Vmware,,,,,,,,174,308,,,,,,,,,
WS2552,,6,24576,Microsoft Windows Server 2016 Standard,,,Virtual,Vmware,,,,,,,,46,80,,,,,,,,,
WS2553,,4,4096,Microsoft Windows Server 2016 Standard,,,Virtual,Hyper-V,,,,,,,,50,79,,,,,,,,,
WS2876,,2,16384,Microsoft Windows Server 2019 Standard,,,Virtual,Hyper-V,,,,,,,,33,269,,,,,,,,,
WS2906,,2,16384,Microsoft Windows Server 2019 Standard,,,Virtual,Hyper-V,,,,,,,,152,234,,,,,,,,,
WS2907,,24,65536,Microsoft Windows Server 2019 Standard,,,Physical,,,,,,,,,4446,13854,,,,,,,,,
